pathway_id	name	category	status	score_0_100	essential_ratio	optional_ratio	missing_essential_groups	evidence_genes
b1_de_novo	Thiamine (B1) de novo	vitamin	Absent	0.0	0.0	0.0	['thiC_like', 'thiD_like', 'thiE_like']	[]
b1_salvage	Thiamine salvage/transport	vitamin	Absent	20.0	0.0	1.0	['thiamine_transport']	[]
b2_de_novo	Riboflavin (B2) de novo	vitamin	Absent	20.0	0.0	1.0	['ribA', 'ribB', 'ribH', 'ribE']	[]
b6_de_novo	Pyridoxine (B6) de novo	vitamin	Absent	20.0	0.0	1.0	['pdxA', 'pdxJ']	[]
b7_de_novo	Biotin (B7) de novo	vitamin	Present	100.0	1.0	1.0	[]	['g1', 'g2', 'g3', 'g4']
b7_salvage	Biotin salvage/uptake	vitamin	Absent	20.0	0.0	1.0	['biotin_transport']	[]
b9_de_novo	Folate (B9) de novo	vitamin	Absent	20.0	0.0	1.0	['folE', 'folB', 'folK', 'folP', 'folC']	[]
b12_de_novo	Cobalamin (B12) de novo	vitamin	Absent	20.0	0.0	1.0	['cobA', 'cobI', 'cobM', 'cobU']	[]
aa_ala_biosyn	Alanine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['ala']	[]
aa_arg_biosyn	Arginine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['arg']	[]
aa_asn_biosyn	Asparagine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['asn']	[]
aa_asp_biosyn	Aspartate biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['asp']	[]
aa_cys_biosyn	Cysteine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['cys']	[]
aa_gln_biosyn	Glutamine biosynthesis	amino_acid	Present	100.0	1.0	1.0	[]	['g5']
aa_glu_biosyn	Glutamate biosynthesis	amino_acid	Present	100.0	1.0	1.0	[]	['g6']
aa_gly_biosyn	Glycine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['gly']	[]
aa_his_biosyn	Histidine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['his']	[]
aa_ile_biosyn	Isoleucine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['ile']	[]
aa_leu_biosyn	Leucine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['leu']	[]
aa_lys_biosyn	Lysine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['lys']	[]
aa_met_biosyn	Methionine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['met']	[]
aa_phe_biosyn	Phenylalanine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['phe']	[]
aa_pro_biosyn	Proline biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['pro']	[]
aa_ser_biosyn	Serine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['ser']	[]
aa_thr_biosyn	Threonine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['thr']	[]
aa_trp_biosyn	Tryptophan biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['trp']	[]
aa_tyr_biosyn	Tyrosine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['tyr']	[]
aa_val_biosyn	Valine biosynthesis	amino_acid	Absent	20.0	0.0	1.0	['val']	[]
